record_id,source,class_id,pixels,share_pct,class_name
neu::train::pitted_surface_34.jpg,neu,4,37430,93.575,Class_4
severstal::cb37fc190.jpg,severstal,3,15962,3.89697265625,Class_3
severstal::18c14f720.jpg,severstal,2,3978,0.97119140625,Class_2
severstal::dc702eb04.jpg,severstal,3,41658,10.17041015625,Class_3
severstal::dc702eb04.jpg,severstal,4,9548,2.3310546875,Class_4
severstal::1e1f0b7b0.jpg,severstal,3,1251,0.305419921875,Class_3
severstal::1f9f97b80.jpg,severstal,3,22139,5.405029296875,Class_3
neu::validation::pitted_surface_276.jpg,neu,3,10736,26.84,Class_3
neu::validation::pitted_surface_276.jpg,neu,4,23160,57.9,Class_4
severstal::a41e950ce.jpg,severstal,1,1234,0.30126953125,Class_1
severstal::f3e1e7c47.jpg,severstal,2,2341,0.571533203125,Class_2
neu::validation::pitted_surface_254.jpg,neu,4,37036,92.59,Class_4
severstal::1dac7069c.jpg,severstal,3,27163,6.631591796875,Class_3
severstal::eb5d79866.jpg,severstal,3,33449,8.166259765625,Class_3
severstal::eb5d79866.jpg,severstal,4,1802,0.43994140625,Class_4
severstal::0b4a68676.jpg,severstal,3,15449,3.771728515625,Class_3
severstal::9661e7677.jpg,severstal,3,13019,3.178466796875,Class_3
severstal::4e1c34ada.jpg,severstal,3,16255,3.968505859375,Class_3
severstal::221f866cc.jpg,severstal,3,4403,1.074951171875,Class_3
severstal::ce3818dfd.jpg,severstal,3,37454,9.14404296875,Class_3
severstal::eabd4acaa.jpg,severstal,3,570,0.13916015625,Class_3
neu::train::inclusion_178.jpg,neu,2,5349,13.3725,Class_2
severstal::58049fca1.jpg,severstal,3,5309,1.296142578125,Class_3
severstal::db1b35480.jpg,severstal,3,12104,2.955078125,Class_3
severstal::8ebc9cadc.jpg,severstal,3,14975,3.656005859375,Class_3
severstal::5432ff65a.jpg,severstal,3,9709,2.370361328125,Class_3
severstal::d5345c3da.jpg,severstal,3,2049,0.500244140625,Class_3
severstal::fcce5b9cc.jpg,severstal,3,70987,17.330810546875,Class_3
severstal::d8a7f9cab.jpg,severstal,4,4505,1.099853515625,Class_4
severstal::471b423b1.jpg,severstal,3,12997,3.173095703125,Class_3
severstal::c8c0e5b9d.jpg,severstal,3,16064,3.921875,Class_3
severstal::1bd3a1f4c.jpg,severstal,3,4435,1.082763671875,Class_3
severstal::8484468e0.jpg,severstal,3,13847,3.380615234375,Class_3
severstal::b3d4ba1e2.jpg,severstal,3,6209,1.515869140625,Class_3
severstal::79307aa18.jpg,severstal,3,18896,4.61328125,Class_3
severstal::84beeb839.jpg,severstal,3,7458,1.82080078125,Class_3
severstal::681af7b91.jpg,severstal,3,29232,7.13671875,Class_3
severstal::0f2f4c90e.jpg,severstal,3,90464,22.0859375,Class_3
severstal::0e0d5004d.jpg,severstal,3,11218,2.73876953125,Class_3
neu::train::inclusion_146.jpg,neu,2,10181,25.4525,Class_2
neu::train::patches_93.jpg,neu,3,22710,56.775,Class_3
severstal::dc2b020ba.jpg,severstal,3,1249,0.304931640625,Class_3
severstal::094fd70ea.jpg,severstal,3,65656,16.029296875,Class_3
severstal::d5f7cde8a.jpg,severstal,3,37640,9.189453125,Class_3
severstal::d36df54f6.jpg,severstal,3,27129,6.623291015625,Class_3
severstal::e0593f542.jpg,severstal,3,4670,1.14013671875,Class_3
severstal::adbe07a60.jpg,severstal,3,32923,8.037841796875,Class_3
severstal::6fcfab295.jpg,severstal,3,6797,1.659423828125,Class_3
severstal::7eacbdb66.jpg,severstal,3,92111,22.488037109375,Class_3
severstal::7c159d683.jpg,severstal,3,18048,4.40625,Class_3
severstal::47cee01b1.jpg,severstal,3,2002,0.48876953125,Class_3
neu::train::patches_201.jpg,neu,2,4002,10.005,Class_2
neu::train::patches_201.jpg,neu,3,22203,55.5075,Class_3
severstal::77c387f3b.jpg,severstal,3,9152,2.234375,Class_3
severstal::974750ad1.jpg,severstal,3,18051,4.406982421875,Class_3
severstal::84a9ab164.jpg,severstal,3,28462,6.94873046875,Class_3
